pra	807
dor	321
tomar	284
tomei	194
remédio	144
toma	139
pq	138
to	137
estômago	133
omeprazol	127
dipirona	123
causa	120
tá	105
cabeça	99
vai	98
pode	94
ter	93
tô	92
vou	92
ainda	90
gastrite	89
dá	88
garganta	86
ansiedade	85
agora	84
tomo	83
falta	83
nimesulida	83
passa	78
ibuprofeno	77
http	75
ta	75
contra	75
nada	73
nao	72
alergia	70
tomando	70
comer	69
aí	68
ser	67
vc	65
deu	63
depressão	63
bom	62
tira	61
acho	60
ver	57
azia	57
febre	55
efeito	55
paracetamol	55
estomago	54
tava	53
dia	51
cólica	50
tratamento	49
ai	49
fome	49
faz	48
dormir	47
mg	47
bem	46
hoje	45
muita	43
corpo	43
doença	43
passar	43
fazer	41
dois	40
coisa	40
quase	40
vida	40
ajuda	40
aqui	39
crise	39
eh	38
tipo	38
www	38
tanta	38
dessa	38
forte	37
cura	37
mt	37
tudo	37
serve	36
vitamina	36
ficar	36
dando	35
passou	35
posso	35
dias	35
melhor	35
tão	34
sono	34
má	34
ontem	33
sentir	33
remedio	33
sentindo	33
sei	32
igual	32
morrendo	32
pro	32
alimentação	32
água	31
anti	31
ja	31
pele	31
porque	31
gente	31
excesso	31
buscopan	31
vez	31
veia	30
mim	30
sangue	30
sim	30
logo	29
demais	29
dar	29
mal	29
tirar	29
fico	28
médico	28
sene	28
baixa	27
álcool	27
então	26
rivotril	26
vezes	26
tomou	26
cara	26
toda	26
tontura	25
cabelo	25
glicose	25
assim	25
a.	25
rápido	24
menos	24
ir	24
bastante	24
tanto	24
sintomas	24
inflamatório	24
semana	24
deve	24
sabia	24
todo	24
sente	24
melhora	23
pois	23
fica	23
pouco	23
fez	22
estar	22
alguém	22
todos	22
chá	22
aliviar	22
noite	22
tremor	22
deixa	22
ótimo	22
quero	22
dorflex	22
sinto	22
tentar	22
café	22
k.	22
efeitos	21
mãe	21
sertralina	21
né	21
br	21
parece	21
etc	21
qualquer	21
amiga	21
cm	21
vicia	20
comprimido	20
vacina	20
alivia	20
parar	20
vem	20
tristeza	20
droga	20
uso	20
n.	20
nariz	20
entrar	19
nunca	19
hj	19
cigarro	19
tensão	19
casa	19
hora	19
acabar	19
remédios	19
aguento	19
alta	19
gosto	19
enxaqueca	19
insônia	19
colaterais	18
tomava	18
músculos	18
descontrole	18
desde	18
alcoólico	18
quer	18
fluoxetina	18
causar	18
uns	18
starter	18
pack	18
ruim	18
foda	18
frio	18
beber	18
so	17
outro	17
pessoa	17
nicotina	17
acordei	17
controlar	17
morrer	17
enjoo	17
coração	17
controle	16
amanhã	16
merda	16
peito	16
tbm	16
umas	16
diminuir	16
dramin	16
horrível	16
nenhum	16
sempre	16
porém	16
medicamento	16
cinomose	16
canina	16
fases	16
inicio	16
horas	15
nesse	15
o.	15
muscular	15
base	15
penicilina	15
preciso	15
deus	15
cafeína	15
alguma	15
loratadina	15
causada	15
dores	15
gotas	15
pior	15
fiquei	15
caracterizada	15
boca	15
tempo	15
braço	15
farmácia	15
século	15
cheiro	14
barriga	14
seca	14
pós	14
acabou	14
serotonina	14
ate	14
diarreia	14
